,index,text
49138,52436,Regional aircraft flights are always so crappy // never on time cc:@united
49148,52446,@united Security-Everyone I tried to talk to cut me off. Was very stressful. Thankfully. they closed the plane doors late. so I made it.
49150,52448,Look what arrived in the mail today from @SouthwestAir wicked! #LuvThisAirline http://t.co/E7xxKEfoR3
49154,52452,@AlaskaAir I like you. but I miss having 2 bags fly free &amp; choose your own seat!! Makes traveling hard w just a carry-on.
49156,52454,Heading to the airport! #SEA &gt; #PHX on @AlaskaAir. Holiday travel sucks but I got my #firstclass #mvp75k upgrade #drinksonaplane
49164,52462,Hey @AlaskaAir a trip to Arizona this weekend sure would be nice I'd love to see my hawks kick some Cardinal butt! #gohawks #SEAvsAZ
49165,52463,@SouthwestAir messed up their crew assignments and the passengers are getting punished for it... Stuck overnight in Denver now...
49172,52470,@JetBlue bummer. missed this by 24 hours! I was there (and sober) last night. Womp womp.
49176,52475,The only thing I tweet about: @AmericanAir suckinggggg. They never have enough overhead space. #checkedbagsfordays
49177,52476,@united it was a mechanical issue. Which definitely warrants some type of compensation.
49188,52488,Oh yeah by the way you can use your electronic devices whenever you want we were just fucking with you so you'd read SkyMall- .@united
49197,52503,on a Delta flight at the moment. and am extremely disappointed. fly @AmericanAir . or don't fly.
49201,52507,@AmericanAir I just want to tell you about two awful experiences with your airline. Traveling back from a work trip today my flight (2989)
49206,52513,Had a bad experience with @SouthwestAir. and I didn't even fly with it...
49207,52514,Had the nicest in flight team members today on @VirginAmerica. Can't wait to fly with you guys again in January! Thanks!
49208,52515,If I had a $ for every delay and maintenance issue I've had today on @AmericanAir I could buy the airline. #homeforchristmas? #stillstuck
49214,52523,@AmericanAir is the shittiest airline on the face of this earth everytime i fly they have some sort of problem
49216,52525,As always. @united makes my traveling as difficult as possible. delayed flights _
49221,52531,@AmericanAir flying to JFK with no bags and you guys won't let me fly on an earlier flight to LGA
49228,52538,@SouthwestAir Is it a pact w/pilots that when there is a delay. they all say NOTHING!!! It is exasperating! And YOU wouldn't let me go early
49236,52547,@AlaskaAir what happens if I miss my connection in Seattle #alaska687
49240,52551,At the Denver Airport... @JetBlue... you're killing me that you have no one to check my bag in. http://t.co/z7krFkKoQu
49252,52566,@AlaskaAir new inflight entertainment gogo video app is great.  Now if they can just fix the lousy in seat power boxes that kill legroom
49259,52573,Bout to shed some Christmas cheer on all these miserable fools. Leggo @virginamerica LAX  ORD__ http://t.co/IAwfhumrHi
49264,52579,@united i will be moving abroad for a couple of years. i guess the revenue portion of my premier qualifying no longer counts when i move?
49273,52589,@AmericanAir #sucks #worseairlineever I'm delayed every week!! Delta status match link http://t.co/4xB5NLdpSZ http://t.co/MavX5sdtG9
49274,52590,@VirginAmerica why must you always delay my flights I'm literally such a good person
49276,52592,@AmericanAir you guys just flew me from msy to DFW to Houston to DFW. Made us wait 45 mins on tarmac at DFW. Missed connection. Inexcusable
49279,52595,@VirginAmerica can't wait to check it out!
49282,52599,@AlaskaAir great move! Can't wait to try it!
49283,52600,@AlaskaAir not your fault john :] #MotherNature :/
49285,52602,@DeltaAssist just got stuck in DTW on way to DSM. Do you know earliest time I can get to DSM tomorrow morning.
49290,52607,"So far ""A-List Status"" has gotten me a faulty check-in through the app. the option to go standby for $250 and B58. @SouthwestAir come on now"
49292,52609,@AmericanAir need info on flight 5323. When the delayed flight lands at xna. will crew be legal to fly back to download tonight?
49305,52625,I hate you #midland airport. @AmericanAir this is all your fault. http://t.co/lxUNKXI0at
49314,52635,What is the process to escalate this complaint to the executive office?@AmericanAir
49328,52651,"@United  Nightmare in HKG. They make a big deal to be ""in line."" Then boarding time is pushed back ... What a MESS. http://t.co/DKoPnhZWpa"
49336,52661,@SouthwestAir ruined my trip and my life!!
49349,52674,@JetBlue you failed me tonight. I have been waiting 40 minutes and still no bag - does this scheduling make any sense http://t.co/0wb9qHAxWv
49361,52688,@united I was just responding to media reports that passengers were terrified. I Saw no mass upset just frustration at going round and round
49365,52692,@AlaskaAir But will we get a vegan option in First??? Vice meat sandwich or starve?
49366,52693,Well our first @AlaskaAir flight got delayed for no apparent reason so we missed our connection by minutes...Luckily there is a later flight
49368,52695,@united I say this only because my last three or four trips with you has been hell.
49369,52697,Hey @AlaskaAir skip Juneau and send us from Sitka to Anchorage! Or at least cancel the flight and quit dragging this out!
49371,52699,@united bad start but getting better. This txt at arraival made things much more comfortable http://t.co/pgM27RCcb2
49376,52704,@united can't believe after yesterday you've left us waiting this long with no info because first coach filled up.
49379,52707,Check-in for @united is torturous. I have never seen a check-in line move so slowly. #neveragain
49384,52712,@VirginAmerica haven't flown u guys in yrs due 2 circumstances nd miss it so much because even thn you were the future. Congrats on success!
49405,52733,@DeltaAssist a crew issue means that a flight that was supposed to get in at 3pm now gets in during the middle of the night?
49407,52735,Boston -maui booked @AlaskaAir   Can't wait aloha baby
49425,52755,@AmericanAir apparently my 1st class tkt is really a coach tkt W/ upgrade meaning no flight change toady. Misleading #customerservicefail
49427,52757,@SouthwestAir WHATEVER!!! Sorry is NOT enough. u r destroying my vacation that I have saved a LONG time for. I NEED my bags NOW!! #nightmare
49429,52759,@SouthwestAir  don't leave me! Been at security line for 45 min! #oak
49430,52760,@JetBlue Whoa. Departed early w/o me? Not cool.
49438,52768,.@SouthwestAir you have made this day miserable.
49440,52770,@united How about flatscreens not working in the ENTIRE airplane? Transatlantic flight UA958 Chicago to London was a disaster. guys.
49446,52776,@AmericanAir stuck on another old cramped uncomfortable plane.  Lol...again.
49451,52781,@united Don't miss my Bali. Indonesia http://t.co/UKpHVJGaiU Damn it's BALI  visit us &gt;&gt; http://t.co/eivxhglIsA
49455,52785,@AmericanAir After a planeful of missed connections.  The embarrassed pilot says it all.
49464,52794,@AlaskaAir put all 4 of my family in middle seats. For the sake of my kids I hope they can fix the problem before today's flight.
49465,52795,@AmericanAir i need a phone number for help with my damage http://t.co/brv0QeoTg3
49470,52800,Came early to SFO only to deal with @united's awful check in process. Currently in 15+ min wait to get baggage tag.
49494,52825,It's not @united fault their plane had a fault. What is their fault is the way they treat their customers. Make Ryanair look like the Ritz.
49499,52831,@JetBlue: your year in review email just made my morning. Can't wait to fly with you next week to SAV and San Diego in March! #partofthefam
49501,52834,@AmericanAir Still waiting... I've received NUMEROUS promo emails but ZERO response to this issue. http://t.co/GKC26c2GWG
49512,52846,Was stuck behind this in traffic today! It's like @united knows about my #RTWsoon. That's the flight I'm taking. _ http://t.co/FoRUrALK4n
49525,52860,@DeltaAssist Anyway I can miss the first leg of a trip? Want to see my newborn twin niece and nephew!
49530,52865,@AmericanAir Not long until your taking us to the BIG APPLE!!! Can't wait!
49532,52867,can't wait to take these @SouthwestAir flights to Havana on the regular
49537,52872,Very unpleasant interaction with a @SouthwestAir flight crew today. Was not the only passenger. either. Always catches you off guard.
49545,52882,Sigh second mechanical delay in December but thankfully no connection to run to! @JetBlue 1373 to Charleston http://t.co/7GGx3OBvR7
49546,52883,@AmericanAir today Thursday Dec 18. 2014 4:55pm local time (Brazil). I wanted to have it registered my FRUSTRATION with the POOR service..
49556,52893,Hi @AlaskaAir Im getting an error trying to get into my order on your website. it fails for the last 30 minutes. cannot print my tickets :(
49568,52905,Last flight as a @united platinum for a while. Too bad exceeding 1k qualifying PQD this year didn't outweigh my lack of PQM/PQS
49571,52908,@united No. there wasn't a problem with my reservation. just your understaffing.
49574,52911,@AlaskaAir Beyond is the perfect airline entertainment! Don't deal with crappy airline devices. watch latest movies on your iPad!
49586,52925,@JetBlue you have no integrity. You made us miss international flts and won't put on nxt flt due to $$$..your errors your liability!!
49603,52945,@united may I complaint about why you dont sell half bot of wine to Asian?
49608,52950,Really @AmericanAir. these are the 'upgraded' sandwiches in F? Looks like the same crAAp to me. Disgusting! http://t.co/YQRgWZq9PU
49618,52960,Can't wait till I see my Self @United Arab Emirates.....dubai on my mind InshaAllah
49620,52962,@SouthwestAir it's only getting worse... http://t.co/2w1DBOvSsr
49624,52966,@SouthwestAir let's fucking go wheels up I'm going to miss my next flight
49630,52974,@SouthwestAir after 45 minutes on hold. I sent an email instead. I couldn't handle the music anymore! hopefully this works out ok!
49644,52990,A little late. but shoutout to @SouthwestAir for the #LUVvoucher to compensate for our unexpected diversion on Tuesday! Now THAT's service!
49647,52993,@JetBlue no apologies from the crew or ground staff. 1/4 of plane boarded after final boarding call. Bad esp for holidays. No apology?
49651,52997,@DeltaAssist Hey there - looking to cancel a reservation. Can you help me with this?
49655,53001,No on-board WIFI on my flight back to Europe (with @united). Too bad.   Also: productivity time!
49658,53005,Maybe @AmericanAir should announce a LIT-LGA direct flight with less fanfare if they're going to cancel it a year later.
49672,53019,@DeltaAssist how about a travel voucher for STILL BEING IN DETROIT. Of all the places to get stuck. nobody wants to get stuck in Detroit
49677,53024,The only thing that isn't stressful about this trip is @SouthwestAir. Their itinerary change policies are literally a gift from the gods.
49696,53045,@AlaskaAir so much for perfect track record. Been stuck at the gate for over an hour. Sigh...
49708,53058,6 segments and 5180 miles short of re-upping my @AlaskaAir MVP Gold status for next year. Grrrrr.
49713,53063,@AmericanAir Too bad the planes are almost the same inside as they are in the movie in 1990.
49716,53067,@SouthwestAir last month you broke my professionally packed bike twice and didn't care now this to a METAL tag... http://t.co/iPRQ13sIWK
49718,53069,@AmericanAir ignoring complaints about AA42 on 12/17 ORD---&gt;CDG. Mechanical issues. plane too old for transatlantic flights!
49721,53072,@AmericanAir what's the excuse today?? You guys are horrible! http://t.co/So8OarnhEb
49722,53073,Hi. @united? Yes. I need to cancel a reservation to Quito.
49732,53084,Crazy that @united needs to stop at BNA to refuel a IAD-DFW direct flight - waste of time. Try using  bigger planes with better range!
49751,53105,Time to go @AmericanAir ! I have smells to smell and things to mark http://t.co/uH1J0H3lRS
49753,53107,Stuck in Puerto Rico....@AmericanAir new planes please!
49764,53120,AUS&gt;&lt;JFK @JetBlue flights have been running late ever since they changed the schedule earlier this year to run earlier in am &amp; later in pm
49768,53124,Can't wait for my complementary drink!!!! @SouthwestAir
49769,53125,Why do you always have to be late out of #BurbankAirport. @SouthwestAir? This is the second time this week.
49782,53138,@AmericanAir is it common to have to wait over a week to receive a follow-up on a customer relations complaint?
49786,53142,Today @AmericanAir had an aircraft issue. Stuck in Chicago til 12am &amp; missing our 1st Bangkok tour. Disappointing start to our honeymoon.
49793,53149,So thankful for @SouthwestAir waiting for us delayed passengers. I didn't not want to sleep in Chicago tonight!
49794,53150,Oh come on. @AmericanAir! A 20- min wait for a gate at ORD? Merry Xmas to you too...
49795,53151,Live TVs on @JetBlue are not working #notMadJustDisappointed
49802,53159,@AmericanAir hi! stuck in sfo. need to be back for a work emergency. flight cancel cos of time out.  HELP!
49803,53161,@united UA1622 delayed due to need to de-ice? It's Chicago. in winter. of course the plane needs to de-ice!! #planbetter
49816,53174,@united maybe you guys should make sure the planes fucking work before you schedule them for flights
49822,53182,@AmericanAir not as disappointed as me. I can assure you. I'm rebooked tomorrow evening. but frankly. this is all very poorly handled
49826,53186,Never thought I would say this. but I'm so disappointed in @SouthwestAir
49835,53195,@SouthwestAir I'm flying out tomorrow can I bring my mechanical mod in my carry on!?
49838,53198,@JetBlue Your DCA check in and gate crew was AWESOME tonight. They're the only reason I didn't miss my flight and were happy to help!
49848,53208,@AmericanAir no they won't. They told me to wait around and it might come up. It's here. they just won't get it for me.
49849,53209,@united airlines please wait for me! I'm suppose to be on the 9:45 flight to NYC and I'm stuck in the airport carousel. Guys please rt!!!
49854,53214,@SouthwestAir is always delaying my flights _
49864,53226,@DeltaAssist they told me it was a problem on your end and I needed to contact you.
49874,53236,@AmericanAir we are stuck WAITING for a 9:25pm flight delayed out of ORD to SAN and NOW we have to wait for a new crew??! It's 11:34pm!
49880,53242,Why are you so bad at planning? @united
49885,53247,still waiting for UA to fly 787-9 to SFO regularly...come on @united
49888,53250,Love it when @JetBlue's flights get repeatedly delayed over 4 hours and then changed AS IM IN LINE TO BOARD to a different city. I LOVE IT
49900,53262,@JetBlue great BOS&gt;sea flt 497 w v early arrival til we had to wait 1 hr for gate &amp; luggage came in totally SOAKED:( http://t.co/SJzvw73ZDU
49907,53270,Thanks @jetblue SOC for a productive late night pocket session tonight!! Awesome participation and great questions!! http://t.co/ENohtAbVzQ
49911,53274,I hate @SouthwestAir. Had so many problems with them 
49912,53276,@united I was on flight 1629. I don't mind be diverted. I DO mind waiting over 30 mins for luggage. Always like this in Houston. What gives?
49915,53279,@AmericanAir too late. I am at the airport waiting. But I gave my mobile number when booking..
49917,53281,Merry Christmas from @united.... #fail http://t.co/EhW2P0Vf2f
49919,53283,@DeltaAssist currently in the Madrid Airport the Vip lounge no longer will accept platinum or delta Amex to enter. Must be Business Class:(
49921,53285,Oh there's no place like Home for the holidays.. __ #TrueBlue member flying with @JetBlue . #Jersey bound ____ can't wait to see family
49936,53300,I kinda feel bad that I sat in the first row on this @SouthwestAir flight I don't need the extra space but this seat is comfy
49940,53305,@DeltaAssist my hotel in Monterrey is saying that the local airport has no flights coming or going? Should I be worried?
49956,53321,Last trip of the year. and @united can't hold it together. How can they have the wrong tail number? #unfriendlyskies #worstairline
49960,53325,*sigh* miss you @virginamerica as I wait to get off a US Airways flight. #LAXtoPHL http://t.co/KkSWCryzHq http://t.co/CQKV6ZlDao
49969,53335,@AmericanAir I switched from UA and generally happier but your policy on same day changes when missing flights is poor in comparison!
49980,53346,SCREW @AmericanAir YOU ASSHOLES
49984,53351,Apparently paying for a flight doesn't guarantee they'll provide a plane! I usually love @VirginAmerica but you're killing me. #laxorbust
49985,53352,@AmericanAir If I depart at 5:50 from LAX. but change planes in DFW. I have to wait until 24 before my Dallas fight to check in?
50001,53368,@AmericanAir a little snow before leave EGE http://t.co/SFskz7fXff
50002,53369,Don't leave your bags unattended unless you're flying @SouthwestAir. then just leave them here on the floor. http://t.co/OkOiIXLSbo
50015,53382,@DeltaAssist Delta 1972 long delay. Stuck in Austin. Need to get to NYC. Need ideas.
50018,53386,@united flying out of vail eagle Monday.  They are expecting feet of snow.  when can we re route through den to avoid getting stuck
50019,53387,Frustrating error page on @AmericanAir webpage after 15 minutes entering data to check-in. http://t.co/rMvL8klmP5
50023,53391,"just feel like ""I'll be home for Christmas"" is a cruel thing 4 @AmericanAir to be playing in a terminal where every1 is missing their flight"
50025,53393,@americanair why do you have a flight sale and then not say the dates the price is valid? Having to hunt through dates is so frustrating
50032,53400,@united I just checked in and you guys have separated me and my partner. Now he's stuck in a middle seat for no reason.
50039,53407,@united bringing 2 pets from SFO to dsm and the process could not be worse.   Stand in 2 lines for their tix. #1K http://t.co/sx5HMnExyY
50046,53414,Never flying @AmericanAir again. I'm convinced the plane was from 1975. it smelled like old bacon. &amp; they lost my bag _______
50050,53418,@AlaskaAir No worries. AK Air is the best airline &amp; has the best staff. 25+ yrs biz travel never had pilot go 2 gate 2 give news.
50058,53426,"@united my flight to SFO was cancelled due to ""air traffic control"" but the flight to LAX isn't..what's going on exactly ?"
50060,53428,@JetBlue I am traveling with you over the holidays -- when is the free checked bag courtesy no longer in effect?
50065,53433,"Now that they've made the so-subtle #branding change. I can't not see where @AlaskaAir 's ""k"" is and isn't kicking the little ""a"""
50066,53434,We are ready to leave on our Christmas trip. Just waiting to board our @JetBlue flight to Tampa #JetBlueFamily. http://t.co/NS1GrKakGN
50081,53449,What the hell why did @JetBlue up their #mint tickets..... $829???? #jetblue
50086,53454,This is a first. Board @united flight to Toronto. Everybody is on. Oh. No flight crew. Everybody get off.
50089,53457,Hey @SouthwestAir - any suggestions for finding a missing bag? My husband and I are in Boston. His bag. however. is not. #brrrr
50097,53465,Here are 12 US airlines ranked by how often they lose your baggage. @VirginAmerica is the best! Envoy's the worst. http://t.co/mNFPcO2I6a
50101,53469,"Looks like @americanair has some issues with respecting their elite fliers. Maybe a little more ""training"" of managers is needed?"
50104,53472,My flight has been delayed by 3 hours so @VirginAmerica set up a basketball hoop for us so we can #BallWhileWeWait http://t.co/t6nOyKdrQn
50109,53477,Big news everyone: the cruising altitude on my @SouthwestAir flight today will be 39.000 ft. Can't wait to tell my grandchildren about this.
50120,53488,Never again flying @united! I know I always say this but this time I'm done. Been stuck at an airport for over 12 hours
50121,53489,Kinda of frustrating when flights gets way cheaper AFTER you buy them @AlaskaAir :(
50122,53491,@jetblue would benefit from an economics lesson. #customerexperience also very poor. #airline #travel #holidays #businessrules
50131,53500,really glad im an advantage member and @AmericanAir lost my suitcase with EVERYTHING in it.....
50133,53502,@united Is there a problem posting miles from MESA? Boarding pass has numbers. but no flight credit.  Need it to reach elite tier
50138,53507,Oh you know. just a bit delayed with @JetBlue...
50145,53514,@AmericanAir why does flight 1047 ORD to LAX stop after Jan 5th? Will have to switch airlines if 8am is the new earliest time.
50161,53530,@DeltaAssist It looks like he's going to be stuck overnight at the airport. I don't know what tweeting at you will do. What's your plan?
50168,53537,BOOO! THUMBS DOWN TO @JetBlue to add bag fees and extra seats to boost profit http://t.co/tpfsJxGtS6  this is bad move. No longer MY airline
50169,53538,@united Been more 2yrs never had such a bad exper. till last travel. International flight seat recline malfunction button damage &amp; bag delay
50177,53546,@JetBlue I am not happy with the Unaccompanied Minor Services. Flight 1706 Dic 18 Record Locator PFOVHJ. Won't use this services agian
50178,53547,@AmericanAir how do you frustrate me. let me count the ways.  Your flights are late. you close your doors 10 mins early.  When do you think?
50179,53548,@AmericanAir the pup and I are looking forward to our flight to Dallas tomorrow for the holidays &amp; anxiously awaiting upgrade clear email!
50185,53554,On day 2-3 waiting for a reply from @United - Not sure this is better than waiting on hold forever on the phone.
50198,53569,I'm probably going to lose my job because I can't afford to switch the date of my flight thanks to @JetBlue
50201,53573,@AmericanAir taking advantage of our delayed EGE-MIA flight for an impromptu photo shoot rather than updating pax? http://t.co/0oTX4RWN6R
50206,53578,@DeltaAssist but rather then say for x amount of dollars we can sell you a seat you tell people there are no flights. that kinda sucks
50214,53586,A bit of a bumpy flight out of DC to Dallas.  A little wait until my next one.  @AmericanAir #travel #dinosaur #douglasthedinosaur
50220,53593,My flight would be delayed. Awesome job @JetBlue 
50228,53601,Dont cancel my flight then try to socialize with me @united #IShowedThem http://t.co/QbqAcADNsz
50230,53604,@DeltaAssist either improve on-time record of regional flights or find other options. Late inbound plane has delayed LGA-ORF significantly!
50234,53608,@united I have been on the phone for more than 30 mins trying to buy a fligh for the price on my computer. Gold status is clearly worthless
50235,53609,Props to SFO @VirginAmerica gate staff who just rebooked me straight to NYC instead of making me take a sure to be missed connection via LAX
50236,53610,Should have bought my tickets last night but now they just raised the price again. Double sigh. @SouthwestAir
50238,53612,@AlaskaAir Thanks for not boarding us the same way as the first time we had to board the first time. #delayed flight 500.
50239,53613,@JetBlue both of our TVs are not working on our flight to Orlando....this should be fun #ridiculous #jetblue #notv http://t.co/IbPrRLn5HB
50247,53622,This flight attendant is fucking hilarious @JetBlue
50257,53632,If you're flying @united I feel bad for you. son. You'll have 99 problems.. No. that's it. #fb
50258,53633,I'm not going to lie... watching the video of that @AmericanAir flight hit massive turbulence above Japan scared the crap out of me!!!
50266,53642,Rocking these beauties to my last final. It may be miserable. but at least I'll be comfortable. @AmericanAir http://t.co/aFMQB1NxwD
50275,53651,@united Never again. I booked a flight in Nov for my travel home from school. Thinking that I would have to (cont) http://t.co/TQ9dBqZf3F
50281,53659,#TAMW You__re waiting for the new @AmericanAir Citi card to show up in the mail so you can book all your travel for the next 4 months. #Miles
50287,53665,As always. flight delayed. Thanks @JetBlue .
50309,53689,@united normal handling doesn't rip off handles. I watched your people launching bags today.
50310,53690,@AmericanAir  very bad delay today flight 2870 Was this mechanical?
50311,53691,@united you should also stop saying things should happen at this time or that time because it's always a lie.
50315,53695,Why am I not surprised my @united flight has incurred an additional delay. The thing is only coming from LAS to SFO.
50323,53703,@AlaskaAir Yup. Awesome agent Dana helped me. props to her. Between rebooking and itinerary getting updated the new flight delayed.
50329,53709,@JetBlue your app thinks B6 1407 departs JFK at 640.  We both know that's wrong.  Late. Bad info.  I'd be interested in WHY the late flt
50337,53717,Another delay. Can't @AmericanAir  maintain their fleet. Many missed connections in our future!
50340,53720,@SouthwestAir has some serious work to do logistically...always late with their flights
50344,53724,Paper airplane throwing competition held by @VirginAmerica staff in the lounge since the EWR -&gt; SFO flight has been delayed #4hrdelaydoe
50347,53727,@SouthwestAir I have two more hours to tell everyone I know how angry I am with your airline.
50348,53728,@united can the men's restroom in the United Club terminal C smell any worse 24/7 everyday?  #getafabreeze
50349,53729,@VirginAmerica why is flight 193 to SFO delayed 4 hrs with other flights taking off for SFO?
50350,53730,On @JetBlue flight 255. Everyone's TV works except mine. 1st world problem BUT I chose jetblue bc of the TV. Nice.
50355,53736,this A/B/C southwest shit show right here is why I always prefer flying @VirginAmerica
50362,53743,This terminal is weird. I miss @JetBlue. #homewardbound
50365,53746,.@SouthwestAir remember when you kicked the guy from Green Day off a plane because his pants were sagging
50367,53749,@SouthwestAir why is flight #1801 from las to oak delayed?
50370,53753,@SouthwestAir poor performance today
50377,53760,@SouthwestAir This flt. is always late due to waiting for connecting passengers. Last flt. into STL so 150 wait for 10 passengers. Fix this!
50394,53777,Thank you Harvey at @VirginAmerica LAX. Flight's delayed but you saved the day. Would have missed the holiday party without you.
50416,53802,You are just worthless @united
50417,53803,Hi @DeltaAssist! My little girl left a small purse of her FAVE little toys on today's flight. Is there lost &amp; found I can call? DL2550
50426,53812,handed this bag of goodies from @AlaskaAir upon exiting my 3 hour delayed fight http://t.co/iMLg4rl9Jn
50427,53813,HANDED THIS BAG OF GOODIES FROM @ALASKAAIR UPON EXITING MY 3 HOUR DELAYED FIGHT http://t.co/7gLBCC6055 #PULAKYELLING
50429,53815,"Apparently when your flight gets delayed on @VirginAmerica the staff leads ""terminal games"" -1st up: person w/ oldest penny gets free drinks"
50435,53821,@united 3 for 3 on having problems traveling with United. So Paulo to Chicago delayed with engine problems. What a joke.
50442,53829,@SouthwestAir little brother is on delayed 377 to BWI. trying to make 186 to ALB &amp; looks like cutting it close. Will he make it?
50445,53832,@united what's the deal with the delay on flt 1171 getting into the arriving gate? Lots of us have connecting flts w shirt connections
50451,53838,@SouthwestAir leave it to SWA to lose all my luggage #LAX #WISHIIDROVE
50466,53854,@AlaskaAir makes me sad when I hear the F/As on flight 759 from MCI to Seattle were not kind to my daughter. and she is an MVP.
50471,53860,"Usually being impressed with an airline means ""It wasn't more annoying than usual."" But I am seriously. positively impressed with @AlaskaAir"
50475,53864,@DeltaAssist will the crew running 2477 also operate 854 tomorrow? I.E. will 2477 delay mess me up due to crew rest? HHO42N
50478,53869,@VirginAmerica lounge at LAX Really bad.
50479,53870,@AmericanAir does my son needs to wait 20 years for you to find his suitcase?
50481,53872,@VirginAmerica Thanks for the follow.  Can't wait to see you guys in a few weeks en route to #CES2015
50482,53873,Hey @united if you had a functioning nutsack I would drop everything important in my life to try to cut them off. Then I'd kill your family
50483,53874,@AlaskaAir It's OK. I'm just exhausted as I flew to LAX early this AM and now flt to YVR is very late.
50494,53885,Only an airline like @united can have 2 flights back to back delayed at the same for contract cleaning/security sweep.
50496,53887,@AmericanAir 3037. still haven't pulled away. very poor planning
50497,53888,@AmericanAir I have a booking thats been on request for a while now. can you tell me how long its going to take to confirm or cancel?
50506,53897,hi @united you make grown men cry and ruin babies' Christmases
50509,53900,Flying: CIA sanctioned torture method of slowly crushing your balls. But at least I can charge my phone. Thx @VirginAmerica !
50519,53911,To Kevin @SouthwestAir I'm sure you're having a long day but it's no excuse to treat your customers with contempt or threaten them.
50524,53916,@AmericanAir Lost a paid gig. time &amp; a driver waiting for me at the airport for said gig. Looking to be made whole.
50525,53917,@united what happened tonight here at BOI? 45 min and still waiting for luggage. Didn't you realize your planes were full? #poorplanning
50530,53922,@AlaskaAir stop delaying this flight out of seattle! Some of us are anxious to get home.
50540,53932,@VirginAmerica doesn't fly from Dallas to Chicago? Sad face. Guess I'll cross them off the list. :(
50555,53947,Never taking @AmericanAir from LAX to SAN again. Could have walked faster
50561,53953,Hey @united how goes it? Just thought I'd say hi while we wait for an eternity for our bags at ewr tonight.
50563,53955,Over 40 min taxi before takeoff flight was supposed to leave at 9:40 pm @JetBlue still on the runway
50564,53956,@AlaskaAir #typical #alaskaairlines #behaviour #keepingquiet #hoping it'll be #forgotten #rudest #gateagent #sfo #badcustomerservice
50575,53968,Last time flying @united. 3 month old baby's first flight home. 3hr delay tomorrow (and increasing) so arriving at 11.40pm. SO predictable.
50587,53980,@AmericanAir what's up with aa272 12/19? Any chance it will leave before 1:30am?
50593,53986,#AOG @AlaskaAir and will miss the bowl game. Thank you.
50594,53987,Hey @AlaskaAir thanks for the swag! Nice touch after the delay AS11. #seatac http://t.co/G5bjmczBey
50613,54006,"Unhappy holidays from @united with some idiotic new ""pay 8 bucks to watch TV on your flight"" BS. come on. son. http://t.co/4xcPnL6y0j"
50616,54009,@VirginAmerica what is the reason for flight VX 363 BOS &gt; LAX delay?
50617,54010,My hudad is in Barcelona but @AmericanAir lost his bag for the 2nd time in the past 3 flights...
50628,54021,@united it's too late
50633,54026,I love when flights get cancel thanks @JetBlue
50652,54046,@united  I'm disappointed today in your not so prompt departure. All because a crew overslept! #UnitedExpress UA4166 http://t.co/mjhRwdQjQ7
50656,54050,Cutest thing..@SouthwestAir waiting 4 flight n a dad gets off plane with a puppy for his boys for Christmas. Their faces were priceless 
50664,54058,"Just had an amazing @JetBlue experience. Jfk is insane so I try to pay for their ""skip the line"" option. But it doesn't work."
50679,54073,So @United completely lost my brother's bags (coming from Oslo) and mine were grabbed by TSA (coming from SFO). Festive!
50680,54074,@VirginAmerica spoiled me. I'm mad that they no longer fly to DFW
50696,54090,@united Waiting to talk to someone...been 15 minutes. Suggestions on an easier route?  Know it's a bust season but....
50699,54093,@JetBlue your new partner!!! Can't wait to fly with them too!!! http://t.co/CgcN91FA2U
50704,54099,The security line at the @JetBlue terminal at JFK is insane. 45 minute wait and I almost missed my flight.
50705,54100,@AmericanAir 50% of the time I have to switch terminals at DFW. I can deal with gates but there terminal link is a hassle!
50715,54112,When your delay is longer than your flight. Be better. @VirginAmerica. #GetMeHome
50718,54115,I've come full circle. On a @VirginAmerica flight to LA one year later. This time I did not miss! #thankstimehop http://t.co/RcfwvRF7f6
50719,54116,@AmericanAir yup missed it
50722,54119,@DeltaAssist I know I'm only silver status but 23 minutes on hold to change a reservation?
50729,54126,@united look at the page. Humberside police are murderer's. its disgusting what's happening to this guy. on Facebook
50730,54127,@JetBlue look at the page. Humberside police are murderer's. its disgusting what's happening to this guy. on Facebook.
50732,54129,@americanair So your policy is. the passengers need to board the plane first then switch seats. If not. you'll give it to an AA employee?
50734,54131,Now it's delayed so i need to sit in this plane for 1h until we can take off @AmericanAir step up your game
50738,54135,@JetBlue Ruined my travel plans out of Boston two years in a row. Always a nightmare. Never attempting to fly with you again.
50744,54142,Flying on @SouthwestAir out of #dca today? Leave now!! Check in is a disaster. And you can't check in babies curbside. #TheMoreYouKnow
50745,54143,@united beware paying first class tickets: new premiere feature for $50 merges 1000s of people into 1st class lines. 2 hr wait. Disgusted!
50753,54151,@united. Okay. listen: This has become more than inconvenient. Please contact me with info or to reach a resolution. http://t.co/4MSuUOcFAu
50755,54154,@AmericanAir bad bad in Miami! http://t.co/SzhrmjypOK
50764,54163,@JetBlue want to tell me why 689 to Regan is delayed so much today?
50770,54169,@DeltaAssist I'm sure not. nothing your sky miles team members would do for me already wasted 40min of my Saturday
50773,54173,@AlaskaAir Is the real MVP for their new seats having an international outlet/USB port on every single one. *Queue slow clap* _
50775,54175,@AmericanAir Truly BAD form! 1 mo/6 legs/3 diff days: 3 cancel/3 late. Today #2210 cancel; will miss connect. Again excuses no explanation.
50777,54177,Best trip! Until @JetBlue check in. of course. THEN asked us to pay for the solution to their problem. Seriously? Seriously. #onlyjetblue
